voter,anomaly,True Positives,True Negatives,False Positives,False Negatives,Precision,Recall,FScore(0.5),F-Measure,FScore(2.0),
0.3,20,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 30,HALF,0.013643736438260601,0.9703459122602967,0.015154186917881077,8.561643835616438E-4,0.5520833333333333,0.9375,0.5892094017094016,0.6666666666666666,0.7931547619047619,
BEST 30,5,0.014499900821822245,0.6122302249372141,0.3732698742409636,0.0,0.03776875962325072,1.0,0.04676110919091996,0.07274030219026667,0.16371631999826927,
BEST 30,10,0.014499900821822245,0.8654580414168793,0.12004205776129838,0.0,0.11185810717060718,1.0,0.13586725201720248,0.20044781607281606,0.38300080740338094,
BEST 30,15,0.013643736438260601,0.9703459122602967,0.015154186917881077,8.561643835616438E-4,0.5520833333333333,0.9375,0.5892094017094016,0.6666666666666666,0.7931547619047619,
BEST 30,20,0.010700062887335526,0.973969481253111,0.01153061792506656,0.003799837934486716,0.4583333333333333,0.75,0.48931623931623924,0.5520833333333334,0.6488095238095238,
BEST 40,HALF,0.013643736438260601,0.968479824916268,0.017020274261909597,8.561643835616438E-4,0.515625,0.9375,0.5557755153343388,0.6395833333333333,0.7771577380952381,
BEST 40,5,0.014499900821822245,0.5167952729138432,0.46870482626433463,0.0,0.03019287013238626,1.0,0.037455298535860014,0.058597792392297045,0.1345576213309077,
BEST 40,10,0.014499900821822245,0.7350003013093989,0.2504997978687791,0.0,0.05549460214707892,1.0,0.0683964854591295,0.10502735925719336,0.22628371640278105,
BEST 40,15,0.014499900821822245,0.9386160503300499,0.046884048848127816,0.0,0.25312500000000004,1.0,0.29640163757810817,0.3994047619047619,0.6176835317460317,
BEST 40,20,0.013643736438260601,0.968479824916268,0.017020274261909597,8.561643835616438E-4,0.515625,0.9375,0.5557755153343388,0.6395833333333333,0.7771577380952381,
BEST 10,HALF,0.014499900821822245,0.8736452171087475,0.11185488206943006,0.0,0.1183351370851371,1.0,0.1435156695038949,0.210872113997114,0.39837246087246087,
BEST 10,5,0.014499900821822245,0.8736452171087475,0.11185488206943006,0.0,0.1183351370851371,1.0,0.1435156695038949,0.210872113997114,0.39837246087246087,
BEST 10,10,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 10,15,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 10,20,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 5,HALF,0.014499900821822245,0.8199120196883012,0.16558807948987658,0.0,0.08174230283605283,1.0,0.10009748497884241,0.15094840820943764,0.30702994760657304,
BEST 5,5,8.680555555555555E-4,0.9846320436226222,8.680555555555555E-4,0.01363184526626669,0.03125,0.0625,0.034722222222222224,0.041666666666666664,0.052083333333333336,
BEST 5,10,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 5,15,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 5,20,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 20,HALF,0.013643736438260601,0.9703459122602967,0.015154186917881077,8.561643835616438E-4,0.5520833333333333,0.9375,0.5892094017094016,0.6666666666666666,0.7931547619047619,
BEST 20,5,0.014499900821822245,0.7866704167050813,0.1988296824730964,0.0,0.06995009553784708,1.0,0.08589405518983305,0.13052893886094014,0.2719569754132363,
BEST 20,10,0.013643736438260601,0.9703459122602967,0.015154186917881077,8.561643835616438E-4,0.5520833333333333,0.9375,0.5892094017094016,0.6666666666666666,0.7931547619047619,
BEST 20,15,0.008054576916289852,0.9811455703587517,0.004354528819426079,0.006445323905532389,0.46875,0.5625,0.47916666666666663,0.5,0.53125,
BEST 20,20,0.0,0.9855000991781778,0.0,0.014499900821822245,0.0,0.0,0.0,0.0,0.0,
BEST 8,HALF,0.014499900821822245,0.8736452171087475,0.11185488206943006,0.0,0.1183351370851371,1.0,0.1435156695038949,0.210872113997114,0.39837246087246087,
